id,street_id,activity,task_description,status,street,start_year,stop_date_actual,route_ahead,route_back
660047416,7167,AC Overlay 3 or more,,Completed,ALCOVE WAY,2013,2013-11-14,TRANSVERSE AVE,REDROSE WAY
1970600461,15062,AC Overlay 3 or more,,Completed,STROMBERG ST,2012,2012-10-10,NORTHVIEW ST,OAKLEY ST
137778457,11383,Mill & Overlay 3 or More,,Completed,HEMLOCK ST,2014,2014-09-01,HAZLIP WAY,FEDERAL ST N
891295611,8306,Mill & Overlay 3 or More,,Completed,TERMON AVE,2011,2011-11-01,WEALTH ST,WILKSBORO AVE
1830902435,11029,"AC - AC Overlay > 2""",,Completed,PARQUET ST,2010,2010-06-08,JILLSON AVE,BODKIN ST
403201318,7545,AC Overlay 3 or more,,Completed,SARAH ST,2013,2013-10-08,S 15TH ST,S 14TH ST
1240533246,13522,Mill & Overlay 3 or More,,Completed,GOE AVE,2010,2010-05-06,UNNAMED114MS WAY,ATKINS ST
1990264908,8339,AC Overlay 3 or more,,Completed,LORETTA ST,2012,2012-10-10,GREENFIELD AVE,THEODOLITE WAY
117041542,2488,AC Overlay 3 or more,,Completed,ALLUVIAN ST,2013,2013-07-17,ELLIS ST,SECOND AVE
1028652736,12852,Mill & Overlay 3 or More,,Completed,FRENCH ST,2013,2013-11-04,GARRISON PL,NINTH ST
1793595099,5292,Mill & Overlay 3 or More,,Completed,BRINWOOD AVE,2013,2013-11-08,CUSTER AVE,WATERMAN AVE
